Model,Accuracy,Precision,Recall,AUC
Logistic Regression,0.8019872249822569,0.6621160409556314,0.5187165775401069,0.8391033093079129
Random Forest,0.7885024840312278,0.6283783783783784,0.49732620320855614,0.829008757653259
XGBoost,0.7771469127040455,0.5949367088607594,0.5026737967914439,0.8202239789196312
ANN,0.7317246198654175,0.49657535552978516,0.7754010558128357,0.8372019529342651
